"Confirmation","Bestätigung"
"You will receive an order confirmation via E-mail. This contains all information like delivery time, product overview, payment method, etc.","Sie erhalten eine Auftragsbestätigung per E-Mail. Diese enthält alle Informationen wie Lieferzeit, Produktübersicht, Zahlungsart usw."
"Shipment","Versand"
"When your order is ready for shipment, you will receive the tracking information via e-mail.","Wenn Ihre Bestellung versandfertig ist, erhalten Sie Informationen zur Sendungsverfolgung per E-Mail."
"Invoice (30 days net)","Rechnung (Zahlungsziel 30 Tage netto)"
"After the (first) shipment the invoice will be send via e-mail. This invoice will have all the information needed such as Country Of Origin, Tariff number, Bank Accounts, etc.","Nach der (ersten) Lieferung schicken wir Ihnen eine Rechnung per E-Mail. Diese Rechnung enthält alle erforderlichen Angaben wie Ursprungsland, Zolltarifnummer, Bankkonten usw."
"Proforma invoice","Proformarechnung"
"We will send you the proforma invoice by e-mail. The PDF document will have all the instructions you need to transfer the amount.","Wir senden Ihnen per E-Mail eine Proformarechnung zu. Die Rechnung ist ein PDF-Dokument, das alle Anweisungen enthält, die zur Überweisung des Betrags nötig sind."
"Final invoice","Schlussrechnung"
"This is the confirmation your payment has been received and your order will be processed. Please take good care of the invoice, it’s also your warranty.","Dies ist die Bestätigung, dass Ihre Zahlung eingegangen ist und Ihre Bestellung bearbeitet wird. Bitte bewahren Sie diese Rechnung gut auf, sie wird u. a. für eine evtl. Garantieabwicklung benötigt."
"Invoice","Schlussrechnung"
"Print this page","Diese Seite drucken"
"I agree to the %s terms and conditions %s","Ich habe die %s AGB %s zur Kenntnis genommen und bin mit der Geltung einverstanden."
"Place order now","Kaufen"
"Tax","MwSt (21%)"
"Grand Total Excl. Tax","Gesamtsumme (zzgl. MwSt.)"
"Grand Total Incl. Tax","Gesamtsumme (Inkl. MwSt.)"
"Grand total","Gesamtsumme (Inkl. MwSt.)"
"Shipping","Versand & Bearbeitung"
"Article no.. :","Art.Nr."
"Your purchase number","Ihre Bestellungsnummer / Referenz"
"Edit more","Bearbeiten"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Sollten wir einen Account unter %s finden können, erhalten Sie eine E-Mail mit einem Link, mit dem Sie Ihr Passwort zurücksetzen können."
"Invoice #", "Rechnung #"
"Credit Memo #","Rechnungskorrektur #"
"Packingslip # ","Versand #"
"Administratie kosten:","Verwaltungskosten:"
"Qty","Stück"
"Price","Einzelpreis"
"Row Total","Zwischensumme"
"SKU","Art.Nr."
"Shipping & Handling","Versand & Bearbeitung"
"Qty Back Ordered","Menge nachbestellt"
"Creditmemo","Rechnungskorrektur"
"Invoice","Rechnung"
"days transit","Tage Transit"
"day transit","Tag Transit"
"Street Address 1","Straße"
"Street Address 2","Hausnummer"
"Street Address 3","Zusatz"
"Department","Abteilung"
"Main menu","Kategorien"
"Bij een bestelling op rekening tot %s (Excl. BTW) wordt %s (Excl. BTW) administratiekosten berekend.","Für das Kaufen auf Rechnung wird bei Bestellungen bis zu einem Bestellwert von %s (zzgl. MwSt.) ein Entgelt von %s (zzgl. MwSt.) erhoben."
"Offerte","Angebot"
"Excl. Tax","zzgl. MwSt."
"Incl. Tax","Inkl. MwSt."
"Mage_Checkout::Excl. Tax","zzgl. MwSt."
"Mage_Checkout::Incl. Tax","Inkl. MwSt."
"Excl. Tax:","zzgl. MwSt.:"
"Incl. Tax:","Inkl. MwSt.:"
"Search entire store here...",""
"Added to your %s shopping cart%s.","In den %s Warenkorb%s gelegt."
"Tax","MwSt"
"Menu_Products","Produkte"
"News", "News"
"About Us", "Impressum"
"Contact", "Kontaktieren Sie uns"
"Order Information", "Bestellinformationen"
"Search","Suchen"
"ALL PRODUCTS","ALLE PRODUKTE"
"Wide range of Products","Umfangreiche Produktpalette"
"View All Products","Alle Produkte anzeigen"
"You are here","Sie sind hier"
"Onze service","Unser Service"
"And choose your preferred shipping method","und wählen Sie Ihre bevorzugte Versandart"
till free shipping,Bis zum Gratisversand
"Simple and fast, you don’t need to create an account","Einfach und schnell, Sie können auch als Gast bestellen"
"Since the billing country is outside of Netherlands, Please enter a valid VAT number for VAT free delivery.","Liegt das Abrechnungs Land außerhalb der Niederlande, geben Sie bitte eine gültige Umsatzsteuer-Identifikationsnummer an."
"department","Abteilung"
"Related Searches","Ähnliche Suchen"
"What are you looking for ?","Waar bent u naar op zoek ?"
"View All in Cart","Zum Warenkorb"
"And enjoy the 2 years warranty","Und genießen Sie die 2 Jahre Garantie"
"Reviews from customers","Kundenmeinungen"
"View Detail","Mehr Info"
"Signup for our newsletter and recieve special offer straight in your inbox.","Registrieren Sie sich hier für unseren Newsletter und bleiben Sie informiert über die neuesten Entwicklungen im Bereich der Embedded Elektronik"
"Delivery","Lieferzeit"
"price","Einzelpreis"
"QTY","Stück"
"Item","Artikelname"
By courier,Versand nach
Pickup point nearby,Paketshop in Ihrer Nähe
"Shipping","Kundendaten"
"Delivery as discussed","Zoals besproken"
